date	AAPL	SPY	TSLA	PEP	PYPL	PARA
2023-11-01	0.11378011745167793	0.09134385432940162	0.19537943740621855	0.03854252582697826	0.11216219032555941	0.3207717320294501
2023-12-01	0.013582571819598321	0.04565537434336986	0.03498831153123483	0.009210356907714656	0.06596075675752977	0.032509680707137445
2024-01-01	-0.04222721452002032	0.015926518173811077	-0.24625725810339172	-0.007713043057272939	-0.0009770619351914256	-0.013522744269534703
2024-02-01	-0.018543094216382783	0.052186785307856365	0.07790064669600238	-0.01144157602838014	-0.016462890735999713	-0.24331732301711095
2024-03-01	-0.05128646170866957	0.03270183957409856	-0.12923524353897475	0.058485525514346826	0.11020877849461574	0.07070675697561168
2024-04-01	-0.00670622876800786	-0.04031944462057968	0.042607689739043275	0.005142645932625811	0.013882674053326882	-0.032285524843562174
2024-05-01	0.1302221921064548	0.05057975699451989	-0.02837187354253501	-0.01711105432191551	-0.07258534486728874	0.04565415140632134
2024-06-01	0.09555276323741091	0.03527998068344762	0.11118599982126098	-0.038574617700478764	-0.07874270149234663	-0.12331371531610047
2024-07-01	0.054410780446340956	0.012109151894954095	0.17278149180183244	0.04692901772932534	0.13355161404492288	0.09913387015582598
2024-08-01	0.03235348509861469	0.023365580095614957	-0.07739046902676983	0.0012161741731588904	0.10109458268904503	-0.08318735101962649
2024-09-01	0.017467274048228454	0.02100458893667101	0.22194201175563166	-0.008879572825743365	0.07731600787693105	0.01914742138595682
2024-10-01	-0.03042919963095303	-0.008923456825649323	-0.045025412068364634	-0.023346031517617827	0.016275846370997327	0.03013178271231265
2024-11-01	0.05170692422492418	0.059633408203408456	0.3814688622385134	-0.015835865669687643	0.09419915893865793	-0.008226599340812268
2024-12-01	0.055155291044891586	-0.024060181740644615	0.17000808915631316	-0.06176340600346464	-0.01636508267698289	-0.03162928313209079
2025-01-01	-0.0575832459308947	0.026856415559588065	0.0018819576379678349	-0.009009527602826806	0.037844211068298605	0.04015294521044854
2025-02-01	0.025872407000720132	-0.01269487750556797	-0.2758773935575025	0.018448490529222816	-0.19790018533450904	0.04411753915618899
2025-03-01	-0.0815001347836245	-0.05571919842012785	-0.11543452131892018	-0.014363205291541226	-0.08163269250717253	0.057339364097659606
2025-04-01	-0.043353014323267214	-0.008670139114213993	0.08874826236685496	-0.09577165442022861	0.009042089469588177	-0.018394678958132626
2025-05-01	-0.05358406523857118	0.06284494761614745	0.2278848417863253	-0.03046178383649145	0.06743624982328633	0.030664483476545268
2025-06-01	0.021508544579914357	0.05138613494267763	-0.08312644606383923	0.015510167611959114	0.05748436234631016	0.07061783232543806
2025-07-01	0.011697684229461602	0.023031548217528286	-0.02955995259140498	0.044532012967319234	-0.07481159286093164	-0.025581390191052766
2025-08-01	0.11963891074454769	0.020519507582030583	0.08304410748975077	0.07779872602015248	0.02079697877761255	0.169451087203921
2025-09-01	0.032523490443734815	0.003395089501356807	0.05082817105127013	-0.005569910954603907	-0.027496797806595308	0.020408176505266162
