asset	allocation
AAPL	1.3842458756137252e-09
SPY	1.8282025658431407e-10
TSLA	0.9999999948913096
PEP	1.5985274064300005e-09
PYPL	1.6331426461639018e-09
PARA	3.099540826210638e-10
