	AAPL	SPY	TSLA	PEP	PYPL	PARA
AAPL	0.003626731924471241	0.0008322131870552927	0.0032545032124695695	0.0006398167898022023	4.8157257282306306e-05	0.001972033246659798
SPY	0.0008322131870552927	0.001292318461967194	0.0024208656806149684	0.00038120619066738486	0.0014374863749138625	0.001029160487991569
TSLA	0.0032545032124695695	0.0024208656806149684	0.026703445385644026	-0.0008273285451038558	0.007403988071088369	0.002711816441805505
PEP	0.0006398167898022023	0.00038120619066738486	-0.0008273285451038558	0.001548959279154851	0.0008624915240584539	0.0022384999436910716
PYPL	4.8157257282306306e-05	0.0014374863749138625	0.007403988071088369	0.0008624915240584539	0.007073932841893551	0.0034724889337700185
PARA	0.001972033246659798	0.001029160487991569	0.002711816441805505	0.0022384999436910716	0.0034724889337700185	0.012226979290587924
